Address,Date time,Temperatura mÃ­nima,Temperatura mÃ¡xima,Temperatura,Punto de rocÃ­o,Humedad relativa,Ãndice de calor,Velocidad del viento,RÃ¡faga de viento,DirecciÃ³n del viento,EscalofrÃ­os,PrecipitaciÃ³n,Cubierta de precipitaciÃ³n,Profundidad de la nieve,Visibilidad,Cubierto de nubes,PresiÃ³n a nivel del mar,Tipo de clima,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-31.3170,-64.2170","06/01/2017",0.9,18.0,7.8,4.0,80.01,,11.4,,192.92,-2.0,0.0,0.0,0.0,5.4,1.9,1020.2,"Niebla, Niebla, Aumento de la cobertura del cielo, Humo o neblina",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/02/2017",0.9,20.0,9.0,4.1,75.75,,18.3,,148.75,-1.5,0.0,0.0,0.0,6.3,5.8,1017.7,"Niebla, Niebla",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/03/2017",4.1,20.0,10.7,5.5,74.52,,11.4,,177.0,2.8,0.0,0.0,0.0,6.2,20.8,1012.5,"Niebla, Niebla, Cielo sin cambios",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/04/2017",5.0,18.0,10.8,5.5,72.13,,17.2,,219.58,2.8,0.0,0.0,0.0,6.2,33.3,1016.4,"Niebla",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Parcialmente nublado"
"-31.3170,-64.2170","06/05/2017",4.0,11.0,8.8,0.5,57.57,,9.2,,187.92,2.8,0.0,0.0,0.0,6.3,59.0,1021.0,"",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Parcialmente nublado"
"-31.3170,-64.2170","06/06/2017",1.0,18.0,8.0,3.2,75.01,,11.4,,197.27,-0.6,0.0,0.0,0.0,6.1,10.0,1018.9,"Niebla",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/07/2017",2.0,17.0,8.7,5.3,81.25,,15.0,,227.92,0.9,0.0,0.0,0.0,6.2,28.3,1009.7,"",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Parcialmente nublado"
"-31.3170,-64.2170","06/08/2017",3.0,14.0,9.0,-0.6,55.3,,27.7,40.3,211.42,0.4,202.0,4.17,0.0,5.9,29.9,1017.0,"Niebla, DisminuciÃ³n de la cobertura del cielo, Cielo sin cambios, Humo o neblina",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Lluvia, Parcialmente nublado"
"-31.3170,-64.2170","06/09/2017",1.0,21.0,10.0,-1.6,47.73,,8.1,,252.5,-2.4,0.0,0.0,0.0,6.3,5.0,1022.1,"",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/10/2017",6.0,27.0,14.9,2.8,48.36,26.1,10.3,,210.0,4.4,0.0,0.0,0.0,6.1,0.0,1014.3,"Humo o neblina",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/11/2017",2.0,17.0,10.0,0.3,55.52,,24.2,30.0,202.5,-0.3,0.0,0.0,0.0,6.3,0.8,1016.3,"Humo o neblina",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
